name,locale,all_characters,character_count,source_file,sub_code
Lisu (Basic),lis-Lisu," !""#$%&()*+-./0123456789<>?@Q[\]^_`{|}~ʼˍ‐ꓐꓑꓒꓓꓔꓕꓖꓗꓘꓙꓚꓛꓜꓝꓞꓟꓠꓡꓢꓣꓤꓥꓦꓧꓨꓩꓪꓫꓬꓭꓮꓯꓰꓱꓲꓳꓴꓵꓶꓷꓸꓼꓹꓼꓺꓻꓼꓽ꓾꓿",91,kbdlisub.ldml,kbdlisub
Hungarian 101-key,hu-HU," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~¤§°´ÁÄÉÍÓÖ×ÚÜßáäéíóö÷úüĐđŁłŐőŰűˇ˘˙˛˝€",132,KBDHU1.ldml,KBDHU1
Hebrew,he-IL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_{|}~ְֱֲֳִֵֶַָֹֻּֿׁׂאבגדהוזחטיךכלםמןנסעףפץצקרשתװױײ‎‏₪€",117,KBDHEB.ldml,KBDHEB
Slovenian,sl-SI," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]_`abcdefghijklmnopqrstuvwxyz{|}~¤§×ß÷ĆćČčĐđŁłŠšŽž€",122,KBDCR.ldml,KBDCR
Inuktitut - Naqittaut,iu-Cans-CA," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{]}]^_`abcdefghijklmnopqrstuvwxyz{|}~¢©®¼½¾÷Łłŋᐃᐄᐅᐆᐊᐋᐱᐲᐳᐴᐸᐹᑉᑎᑏᑐᑑᑕᑖᑦᑭᑮᑯᑰᑲᑳᒃᒋᒌᒍᒎᒐᒑᒡᒥᒦᒧᒨᒪᒫᒻᓂᓃᓄᓅᓇᓈᓐᓕᓖᓗᓘᓚᓛᓪᓯᓰᓱᓲᓴᓵᔅᔨᔩᔪᔫᔭᔮᔾᕆᕇᕈᕉᕋᕌᕐᕕᕖᕗᕘᕙᕚᕝᕼᕿᖀᖁᖂᖃᖄᖅᖏᖐᖑᖒᖓᖔᖕᖠᖡᖢᖣᖤᖥᖦᙱᙲᙳᙴᙵᙶ‘’“”•⅔−",224,KBDINUK2.ldml,KBDINUK2
Khmer,km-KH, !#$%&()*+-./0123456789:;<=>?@[\\u{17B6}ំ\u{17BB}ំ\u{17BB}ះ\u{17C1}ះ\u{17C4}ះ]_{}£¥«­฿កខគឃងចឆជឈញដឋឌឍណតថទធនបផពភមយរលវឝឞសហឡអឥឦឧឩឪឫឬឭឮឯឰឱឳាិីឹឺុូួើឿៀេែៃោៅំះៈ៉៊់៌៍៎៏័៑្។៕៖ៗ៙៚៛៝០១២៣៤៥៦៧៨៩៰៱៲៳៴៵៶៷៸៹᧠᧡᧢᧣᧤᧥᧦᧧᧨᧩᧪᧫᧬᧭᧮᧯᧰᧱᧲᧳᧴᧵᧶᧷᧸᧹᧺᧻᧼᧽᧾᧿​‌‍—’”•‹›₣₫€₭,197,KBDKHMR.ldml,KBDKHMR
Divehi Phonetic,dv-MV," !""#$%&'()*+-./0123456789:;<=>@[\]^_`{|}~×÷،؛؟ހށނރބޅކއވމފދތލގޏސޑޒޓޔޕޖޗޘޙޚޛޜޝޞޟޠޡޢޣޤޥަާިީުޫެޭޮޯް‌‍‎‏ﷲ",101,KBDDIV1.ldml,KBDDIV1
Belgian (Comma),fr-BE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]^_abcdefghijklmnopqrstuvwxyz{|}£§°²³µàçèéù€",110,KBDBENE.ldml,KBDBENE
Greenlandic,kl-GL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µ½ÅÆÐØÞßåæðøþĸ€",115,KBDGRLND.ldml,KBDGRLND
Greek (319) Latin,el-GR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}€",98,KBDHELA3.ldml,KBDHELA3
Serbian (Latin),sr-Latn-CS," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}\m{‚}]_`abcdefghijklmnopqrstuvwxyz{|}~¤§×ß÷ĆćČčĐđŁłŠšŽž€",123,KBDYCL.ldml,KBDYCL
"French (Standard, BÉPO)",fr-FR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{}\m{-}\m{.}\m{/}\m{^}\m{`}\m{~}\m{¤}\m{¨}\m{¯}\m{´}\m{µ}\m{¸}\m{ß}\m{ˇ}\m{˘}\m{˙}\m{˚}\m{˛}\m{ᵉ}\m{∞}]^_`abcdefghijklmnopqrstuvwxyz{|}~ ¡£§©«®°±¶·»¼½¾¿ÀÆÇÈÉÊ×Ùàæçèéê÷ùŒœſ‑–—‘’“”„†‡… ‰′″€™−≠⩽⩾",172,KBDFRNB.ldml,KBDFRNB
Spanish Variation,es-ES," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~¡£§ª¬±·¼½¿ÇÑ×çñ÷₧€",116,KBDES.ldml,KBDES
Greek (220),el-GR," !""#$%&'()*+-./0123456789:;<=>?@[\m{¨}\m{΄}\m{΅}]_{}~£¤¥¦§©«¬®°±²³¶»½;ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩαβγδεζηθικλμνξοπρςστυφχψω€",109,KBDHE220.ldml,KBDHE220
Polish (Programmers),pl-PL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{~}]^_`abcdefghijklmnopqrstuvwxyz{|}ÓóĄąĆćĘęŁłŃńŚśŹźŻż€",114,KBDPL1.ldml,KBDPL1
Romanian (Standard),ro-RO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]^_`abcdefghijklmnopqrstuvwxyz{|}~§©«±»ÂÎßâîĂăĐđŁłȘșȚț–”„€",131,KBDROST.ldml,KBDROST
Dzongkha,dz-BT," ""'()*+-./0123456789:;=?\ ༁༃༄༅༆༈༉༊་༌།༎༏༑༒༓༔༗༘༙༚༛༜༝༞༟༠༡༢༣༤༥༦༧༨༩༴༵༶༷༸༹༺༻༼༽༾༿ཀཁགངཅཆཇཉཊཋཌཎཏཐདནཔཕབམཙཚཛཝཞཟའཡརལཤཥསཧཨཪཱིེཻོཽུཾཿ྄ྀྂྃ྅྆྇ྈྉྊྋ\u{F99}ྌྍྎྏྐྑྒྔྕྖྗྙྚྛྜྞྟྠྡྣྤྥྦྨྩྪྫྭྮྯྰྱྲླྴྵྶྷྸྺྻྼ྾྿࿐࿑࿒࿓࿔࿙࿚",182,KBDDZO.ldml,KBDDZO
Myanmar (Visual order),my," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~ကခဂဃငစဆဇဈဉညဋဌဍဎဏတထဒဓနပဖဗဘမယရလဝသဟဠအဣဤဥဦဧဩဪါာိီုူေဲံ့း္်ျြွှဿ၀၁၂၃၄၅၆၇၈၉၊။၌၍၎၏ၐၑၒၓၔၕ",176,KBDMYAN.ldml,KBDMYAN
Dutch,nl-NL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}\m{¸}]_abcdefghijklmnopqrstuvwxyz{|}¢£¦§«¬°±²³µ¶·¹»¼½¾ß€",118,KBDNE.ldml,KBDNE
Albanian,sq-AL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]^_`abcdefghijklmnopqrstuvwxyz{|}~¤§ÇË×ßçë÷ĐđŁł",118,KBDAL.ldml,KBDAL
"French (Legacy, AZERTY)",fr-FR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}]^_abcdefghijklmnopqrstuvwxyz{|}£¤§°²µàçèéù€",109,KBDFR.ldml,KBDFR
Maltese 48-Key,mt-MT," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~£¬ÀÈÌÒÙàèìòùĊċĠġĦħŻż€",116,KBDMLT48.ldml,KBDMLT48
Sorbian Extended,hsb-DE," !""#$%&()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{°}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~§«»ÄÖÜßäöüŁł–‘‚“„€",114,KBDSOREX.ldml,KBDSOREX
Old Italic,ett-Ital, -:·⁝𐌀𐌁𐌂𐌃𐌄𐌅𐌆𐌇𐌈𐌉𐌊𐌋𐌌𐌍𐌎𐌏𐌐𐌑𐌒𐌓𐌔𐌕𐌖𐌗𐌘𐌙𐌚𐌛𐌜𐌝𐌞𐌠𐌡𐌢𐌣,40,KBDOLDIT.ldml,KBDOLDIT
Belarusian,be-BY," !""%'()*+-./0123456789:;=?\_ЁІЎАБВГДЕЖЗЙКЛМНОПРСТУФХЦЧШЫЬЭЮЯабвгдежзйклмнопрстуфхцчшыьэюяёіў№",94,KBDBLR.ldml,KBDBLR
Bashkir,ba-RU," !""%()-.:;?АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяҒғҘҙҠҡҢңҪҫҮүҺһӘәӨө₽№",96,KBDBASH.ldml,KBDBASH
Thai Kedmanee,th-TH," ""%()+-./?_กขฃคฅฆงจฉชซฌญฎฏฐฑฒณดตถทธนบปผฝพฟภมยรฤลฦวศษสหฬอฮฯะัาำิีึืฺุู฿เแโใไๅๆ็่้๊๋์ํ๐๑๒๓๔๕๖๗๘๙",95,KBDTH0.ldml,KBDTH0
Sora,srb-Sora," !""#$%&'()*+-./:;<=>?@[\]^_`{|}~₹𑃐𑃑𑃒𑃓𑃔𑃕𑃖𑃗𑃘𑃙𑃚𑃛𑃜𑃝𑃞𑃟𑃠𑃡𑃢𑃣𑃤𑃥𑃦𑃧𑃨𑃰𑃱𑃲𑃳𑃴𑃵𑃶𑃷𑃸𑃹",69,KBDSORA.ldml,KBDSORA
Lao,lo-LA," !""$%'()*+-./0123456789:;=?\\u{EB1}້\u{EB4}້\u{EB5}້\u{EB6}້\u{EB7}້\u{EBB}້\u{ECD}່_xກຂຄງຈຊຍດຕຖທນບປຜຝພຟມຢຣລວສຫຫ\u{EBC}ອຮຯະັາຳິີຶືຸູົຼຽເແໂໃໄໆ່້໊໋໌ໍ໐໑໒໓໔໕໖໗໘໙ໜໝ​₭",106,KBDLAO.ldml,KBDLAO
Yoruba,yo-NG," !""#$%&()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ\\m{'}\m{[}\m{\}]^_`abcdefghijklmnopqrstuvwxyz{|}~¦¨¶Ẹ\u{300}Ẹ\u{301}ẹ\u{300}ẹ\u{301}Ọ\u{300}Ọ\u{301}ọ\u{300}ọ\u{301}‘’€",110,KBDYBA.ldml,KBDYBA
Greek (319),el-GR," !""$%'()*+-./0123456789:;=[\m{¨}\m{΄}\m{΅}]_£¦§©«¬°±²³·»½ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩαβγδεζηθικλμνξοπρςστυφχψω―‘’€",99,KBDHE319.ldml,KBDHE319
Kyrgyz Cyrillic,ky-KG," !""%()*+-./0123456789:;=?\_ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҢңҮүӨө⃀№",102,KBDKYR.ldml,KBDKYR
Buginese,bug-Bugi," !""#$%&'()*+-./0123456789:;=?@[\]^_{|}~ᨀᨁᨂᨃᨄᨅᨆᨇᨈᨉᨊᨋᨌᨍᨎᨏᨐᨑᨒᨓᨔᨕᨕ\u{1A17}‍ᨐᨖᨘᨗᨙᨚᨛ᨞᨟ꧏ",72,KBDBUG.ldml,KBDBUG
Turkish F,tr-TR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}¡¢£¤¥¦§©ª«¬­®²³µ¶¹º»¼½¾¿ÆÇÖ×ØÜßæçö÷øüĞğİıŞş€₺",142,KBDTUF.ldml,KBDTUF
Malayalam,ml-IN, ()-.0123456789\u{D4D}രംഃഅആഇഈഉഊഋഌഎഏഐഒഓഔകക\u{D4D}ഷഖഗഘങചഛജഝഞടഠഡഢണതഥദധനപഫബഭമയരറലളഴവശഷസഹാിീുൂൃെേൈൊോൌ്ൗൠൡ൦൧൨൩൪൫൬൭൮൯൰൱൲൹ൺൻർൽൾൿ‌‍₹,109,KBDINMAL.ldml,KBDINMAL
Czech (QWERTY),cs-CZ," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{ˇ}\m{˝}]^_`abcdefghijklmnopqrstuvwxyz{|}~¤§ÁÉÍ×ÚÝßáéí÷úýČčĚěŘřŠšŮůŽž€",129,KBDCZ1.ldml,KBDCZ1
Bulgarian (Phonetic),bg-BG," !""$%'()*+-./0123456789:;=?@§ЍАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЬЮЯабвгдежзийклмнопрстуфхцчшщъьюяѝ–“„€№",97,KBDBGPH.ldml,KBDBGPH
Sakha,sah-RU," !""()+-./:;=?\_АБВГДДьЕЖЗИЙКЛМННьОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгддьежзийклмнньопрстуфхцчшщъыьэюяҔҕҤҥҮүҺһӨө₽№",96,KBDYAK.ldml,KBDYAK
Gothic,got-Goth," !""#$%&'()*+-./0123456789:;<=>@[\\u{331}̄]^_~·̅𐌰𐌱𐌲𐌳𐌴𐌵𐌶𐌷𐌸𐌹𐌹\u{308}𐌺𐌻𐌼𐌽𐌾𐌿𐍀𐍁𐍂𐍃𐍄𐍅𐍆𐍇𐍈𐍉𐍊",69,KBDGTHC.ldml,KBDGTHC
NZ Aotearoa,en-NZ," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{`}]^_abcdefghijklmnopqrstuvwxyz{|}~",95,KBDMAORI.ldml,KBDMAORI
Sami Extended Finland-Sweden,se-SE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}\m{ˇ}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µ½ÁÂÄÅÆÏÕÖØáâäåæïõöøČčĐđŊŋŠšŦŧŽžƷǤǥǦǧǨǩǮǯʒ€",144,KBDSMSFI.ldml,KBDSMSFI
Bulgarian (Phonetic Traditional),bg-BG," !""$%'()*+-./0123456789:;<=>?@_§ЍАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъьюяѝ€№",99,KBDBGPH1.ldml,KBDBGPH1
Icelandic,is-IS," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{¨}\m{°}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~°µÆÐÖÞæðöþ€",109,KBDIC.ldml,KBDIC
Greek,el-GR," !""#$%&'()*+-./0123456789:;<=>?@[\\m{¨}\m{΄}\m{΅}]^_`{|}~£¤¥¦§©«¬®°±²³¶»½ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩαβγδεζηθικλμνξοπρςστυφχψω€",112,KBDHE.ldml,KBDHE
Tamil Anjal,ta-IN," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLL\u{325}MNOPQRR\u{325}STUVWXYZ[\\m{""}\m{'}\m{}\m{-}\m{.}\m{/}\m{<}\m{`}\m{~}\m{ˆ}\m{ˍ}\m{˘}]^_`abcdefghijkll\u{325}mnopqrr\u{325}stuvwxyz{|}~§ÆÑæñĀāĒēĪīŌōŚśŪūḌḍḤḥṀṁṄṅṆṇṢṣṬṭ–—₹",145,KBDINEN.ldml,KBDINEN
Finnish with Sami,se-SE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µ½ÁÂÄÅÆÏÕÖØáâäåæïõöøČčĐđŊŋŠšŦŧŽžƷǤǥǦǧǨǩǮǯȞȟʒ€",145,KBDFI1.ldml,KBDFI1
Spanish,es-ES," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}¡ª¬·º¿ÇÑçñ€",108,KBDSP.ldml,KBDSP
Bangla – INSCRIPT,bn-IN, !()-.@\u{9CD}র।॥ঁংঃঅঅ\u{9CD}য\u{9BE}আইঈউঊঋএঐওঔকক\u{9CD}ষখগঘঙচছজজ\u{9CD}ঞঝঞটঠডঢণতত\u{9CD}রথদধনপফবভমযরর\u{9CD}লশশ\u{9CD}রষসহ়ািীুূৃেৈোৌ্ৎয়০১২৩৪৫৬৭৮৯‌‍₹,90,KBDINBE2.ldml,KBDINBE2
Nepali,ne-NP," !""#$%&'()*+-.0123456789=?@\u{94D}र^ँंःअआइईउऊऋएऐओऔकक\u{94D}क\u{94D}षखख\u{94D}गग\u{94D}घङचच\u{94D}छजज\u{94D}ज\u{94D}ञझञञ\u{94D}टठडढणतत\u{94D}त\u{94D}रथथ\u{94D}दद\u{94D}धध\u{94D}नन\u{94D}पप\u{94D}फबब\u{94D}भभ\u{94D}मम\u{94D}यरर\u{942}र\u{94D}लल\u{94D}वव\u{94D}शश\u{94D}श\u{94D}रषसस\u{94D}हह\u{94D}ािीुूृेैोौ्।०१२३४५६७८९",125,KBDNEPR.ldml,KBDNEPR
Portuguese,pt-PT," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£§ª«º»Çç€",106,KBDPO.ldml,KBDPO
Inuktitut - Latin,iu-Latn-CA," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~¢©®¼½¾÷ŁłŊŋᐃᐄᐅᐆᐊᐋᐞᐱᐲᐳᐴᐸᐹᑉᑎᑏᑐᑑᑕᑖᑦᑭᑮᑯᑰᑲᑳᒃᒋᒌᒍᒎᒐᒑᒡᒥᒦᒧᒨᒪᒫᒻᓂᓃᓄᓅᓇᓈᓐᓕᓖᓗᓘᓚᓛᓪᓯᓰᓱᓲᓴᓵᔅᔨᔩᔪᔫᔭᔮᔾᕆᕇᕈᕉᕋᕌᕐᕕᕖᕗᕘᕙᕚᕝᕼᕿᖀᖁᖂᖃᖄᖅᖏᖐᖑᖒᖓᖔᖕᖖᖠᖡᖢᖣᖤᖥᖦᙱᙲᙳᙴᙵᙶ‘’“”•⅔−",226,KBDIULAT.ldml,KBDIULAT
Thai Pattachote,th-TH," ""%()+-./=?_กขคฆงจฉชซฌญฎฏฐฑฒณดตถทธนบปผฝพฟภมยรฤลฦวศษสหฬอฮฯะัาำิีึืุู฿เแโใไๆ็่้๊๋์ํ๐๑๒๓๔๕๖๗๘๙",93,KBDTH1.ldml,KBDTH1
Romanian (Legacy),ro-RO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{·}\m{¸}\m{ˇ}\m{˘}\m{˛}\m{˝}]_`abcdefghijklmnopqrstuvwxyz{|}~¤§ÂÎ×ßâî÷ĂăĐđŁłŞşŢţ",123,KBDRO.ldml,KBDRO
ADLaM,ff-Adlm," !""#$%&'()*+-./:<=>@[\\m{`}]^_{}~«»؟⁏⸨⸩⹁𞤀𞤁𞤂𞤃𞤄𞤅𞤆𞤇𞤈𞤉𞤊𞤋𞤌𞤍𞤎𞤏𞤐𞤑𞤒𞤓𞤔𞤕𞤖𞤗𞤘𞤙𞤚𞤛𞤢𞤣𞤤𞤥𞤦𞤧𞤨𞤩𞤪𞤫𞤬𞤭𞤮𞤯𞤰𞤱𞤲𞤳𞤴𞤵𞤶𞤷𞤸𞤹𞤺𞤻𞤼𞤽𞥋𞥐𞥑𞥒𞥓𞥔𞥕𞥖𞥗𞥘𞥙",124,KBDADLM.ldml,KBDADLM
Khmer (NIDA),km-KH," !""$%()*-./=?@\\u{17B6}ំ\u{17BB}ំ\u{17BB}ះ\u{17C1}ះ\u{17C4}ះ{} «»×កខគឃងចឆជឈញដឋឌឍណតថទធនបផពភមយរលវសហឡអឥឦឧឩឪឫឬឭឮឯឰឱឲឳាិីឹឺុូួើឿៀេែៃោៅំះៈ៉៊់៌៍៎៏័៑្។៕៖ៗ៙៚៛០១២៣៤៥៦៧៨៩​‌‍€",124,KBDKNI.ldml,KBDKNI
New Tai Lue,khb-Talu, *+-/=[]{|}ᦀᦁᦂᦃᦄᦅᦆᦇᦈᦉᦊᦋᦌᦍᦎᦏᦐᦑᦒᦓᦔᦕᦖᦗᦘᦙᦚᦛᦜᦝᦞᦟᦠᦡᦢᦣᦤᦥᦦᦧᦨᦩᦪᦫᦰᦱᦲᦳᦴᦵᦶᦷᦸᦹᦺᦻᦼᦽᦾᦿᧀᧁᧂᧃᧄᧅᧆᧇᧈᧉ᧐᧑᧒᧓᧔᧕᧖᧗᧘᧙᧚᧞᧟—’‘“”…、。《》！＃＄％＆（），：；？＠～,115,KBDNTL.ldml,KBDNTL
Canadian French,en-CA," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{¨}\m{´}\m{¸}]_abcdefghijklmnopqrstuvwxyz{|}~¢£¤¦§«¬­¯°±²³µ¶»¼½¾Éé€",120,KBDCA.ldml,KBDCA
Futhark,gem-Runr, -0\m{\}\m{|}ᚠᚢᚦᚨᚬᚱᚲᚴᚷᚹᚺᚻᚼᚾᛁᛃᛅᛇᛈᛉᛊᛋᛏᛒᛖᛗᛘᛚᛜᛝᛞᛟᛦ᛫᛬᛭ᛮᛯᛰ,44,KBDFTHRK.ldml,KBDFTHRK
Devanagari - INSCRIPT,hi-IN, ()-.0123456789\u{94D}रँंःअआइईउऊऋऌऍऎएऐऑऒओऔकक\u{94D}षखगघङचछजज\u{94D}ञझञटठडढणतत\u{94D}रथदधनऩपफबभमयरर\u{94D}ऱलळऴवशश\u{94D}रषसह़ऽािीुूृॄॅॆेैॉॊोौ्ॐ॒॑॓॔क़ख़ग़ज़ड़ढ़फ़य़ॠॡॢॣ।॥०१२३४५६७८९॰‌‍₹,129,KBDINDEV.ldml,KBDINDEV
Portuguese (Brazil ABNT2),pt-BR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}¢£§ª¬°²³¹ºÇç₢",110,KBDBR.ldml,KBDBR
Russian - Mnemonic,ru-RU," !""%()*+-./0123456789:;<=>?[\\m{¨}\m{Й}\m{С}\m{Ц}\m{Ы}\m{й}\m{с}\m{ц}\m{ы}]_{}АБВГДЕЖЗИКЛМНОПРТУФХШЪЬЯабвгдежзиклмнопртуфхшъья’₽№",94,KBDRUM.ldml,KBDRUM
devanagari,unknown, ॅ ॉँंअआइईउऊऋऍऎएऐऑऒओऔकखगघङचछजझञटठडढणतथदधनऩपफबभमयरऱलळऴवशषसह़ािीुूृॆेैॊोौ्य़।,73,devanagari.json,devanagari
arabic,unknown,ءؤئابةتثجحخدذرزسشصضطعغفقكللامنهوىي٠١٢٣٤٥٦٧٨٩,43,arabic.json,arabic
chinese,unknown,一中人十卜口土大女尸山廿弓心戈手日木水火田竹金難Ｚ,25,chinese.json,chinese
katakana,unknown,、。「」゛゜ァアィイゥウェエォオカキクケコサシスセソタチツテトナニヌネノハヒフヘホマミムメモャヤュユョヨラリルレロワヲン・ーﾂ,63,katakana.json,katakana
hiragana,unknown,、。「」ぁあぃいぅうぇえぉおかきくけこさしすせそたちっつてとなにぬねのはひふへほまみむめもゃやゅゆょよらりるれろわをん゛゜・ー,63,hiragana.json,hiragana
cyrillic,unknown,АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ,32,cyrillic.json,cyrillic
hangul,unknown,ㄱㄲㄴㄷㄸㄹㅁㅂㅃㅅㅆㅇㅈㅉㅊㅋㅌㅍㅎㅏㅐㅑㅒㅓㅔㅕㅖㅗㅛㅜㅠㅡㅣ,33,hangul.json,hangul
English QWERTY,en," !""#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,english_qwerty.json,english_qwerty
