name,locale,all_characters,character_count,source_file,sub_code
Czech,cs-CZ," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]_abcdefghijklmnopqrstuvwxyz{|}~¤§ÁÉÍ×ÚÝßáéí÷úýČčĐđĚěŁłŘřŠšŮůŽž€",136,KBDCZ.ldml,KBDCZ
Traditional Mongolian (Standard),mn-Mong-CN, %()+-0123456789=[]~·᠁᠂᠃᠄᠊᠋᠌᠍᠎ᠠᠡᠢᠣᠤᠥᠦᠧᠨᠩᠪᠫᠬᠭᠮᠯᠰᠱᠲᠳᠴᠵᠶᠷᠸᠹᠺᠻᠼᠽᠾᠿᡀᡁᡂ‌‍ ⁈⁉〈〉《》︔︕︖︱,78,KBDMONST.ldml,KBDMONST
United States-Dvorak for left hand,en-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,KBDUSL.ldml,KBDUSL
Maltese 47-Key,mt-MT," !""$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~£ÀÈÌÒÙàèìòùĊċĠġĦħŻż€",114,KBDMLT47.ldml,KBDMLT47
Swiss German,de-CH," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}¢£¦§¬°ÀÄÈÉÖÜàäçèéöü€",117,KBDSG.ldml,KBDSG
Armenian Phonetic,hy-AM," !""#$%&'()*+-./0123456789:;<=>?@[\]^_`{|}~«»ԱԲԳԴԵԶԷԸԹԺԻԼԽԾԿՀՁՂՃՄՅՆՇՈՉՊՋՌՍՎՏՐՑՒՓՔՕՖ՛՜՝՞աբգդեզէըթժիլխծկհձղճմյնշոչպջռսվտրցւփքօֆև։—․",129,kbdarmph.ldml,kbdarmph
Czech Programmers,cs-CZ," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{ˇ}\m{˝}]^_`abcdefghijklmnopqrstuvwxyz{|}~§×ßáéí÷úýčěřšůž€",117,KBDCZ2.ldml,KBDCZ2
Guarani,gn-PY," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGG\u{303}HIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefgg\u{303}hijklmnopqrstuvwxyz{|}¡¬°¿ÃÑÕãñõĨĩŨũʼẼẽỸỹ₲",119,KBDGN.ldml,KBDGN
Tifinagh (Basic),tzm-Tfng-MA," !""#$%&'()*+-./0123456789:;<=>?@[\]^_{|}~£¤§°²µ€ⴰⴱⴳⴳⵯⴷⴹⴻⴼⴽⴽⵯⵀⵃⵄⵅⵇⵉⵊⵍⵎⵏⵓⵔⵕⵖⵙⵚⵛⵜⵟⵡⵢⵣⵥⵯ",83,KBDTIFI.ldml,KBDTIFI
Georgian (Legacy),ka-GE, !%()+-./0123456789:;=?§აბგდევზთიკლმნოპჟრსტუფქღყშჩცძწჭხჯჰჱჲჳჴჵჶ–“„№,68,kbdgeo.ldml,kbdgeo
"Hebrew (Standard, 2018)",he-IL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_{|}~°×÷͏ְֱֲֳִֵֶַָֹֺֻּֽ֫־ֿׁׂ׆אבגדהוזחטיךכלםמןנסעףפץצקרשת׳״‌‍‎‏–‘’‚“”„₪€",134,kbdhebsi.ldml,kbdhebsi
Macedonian - Standard,mk-MK, !#$%&'()*+-./0123456789:;<=>?@[\]^{|}°́ЀЃЅЈЉЊЌЍЏАБВГДЕЖЗИКЛМНОПРСТУФХЦЧШабвгдежзиклмнопрстуфхцчшѐѓѕјљњќѝџ—‘‚“„…,113,KBDMACST.ldml,KBDMACST
Osage,osa-Osge," !""#$%&'()*+-./0123456789:;<=>?@[\]^_`{|}~̄͘𐒰𐒳𐒴𐒵𐒷𐒹𐒺𐒻𐒼𐒾𐒿𐓀𐓁𐓂𐓄𐓆𐓇𐓈𐓊𐓍𐓎𐓏𐓐𐓒𐓓𐓘𐓛𐓜𐓝𐓟𐓡𐓢𐓣𐓤𐓦𐓧𐓨𐓩𐓪𐓬𐓮𐓯𐓰𐓲𐓵𐓶𐓷𐓸𐓺𐓻",121,KBDOSA.ldml,KBDOSA
Italian (142),it-IT," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~£§°àçèéìòù€",106,KBDIT142.ldml,KBDIT142
Hebrew (Standard),he-IL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_{|}~°×÷͏ְֱֲֳִֵֶַָֹֺֻּֽ֫־ֿׁׂ׆אבגדהוזחטיךכלםמןנסעףפץצקרשתװױײ׳״‌‍‎‏–‘’‚“”„₪€",137,kbdhebl3.ldml,kbdhebl3
Lisu (Standard),lis-Lisu," !""#$%&()*+-./0123456789<=>?@Q[\]^_`{|}~ʼˍ‐ꓐꓑꓒꓔꓕꓖꓗꓘꓙꓚꓛꓜꓝꓞꓟꓠꓡꓢꓣꓤꓥꓦꓧꓨꓩꓪꓫꓬꓭꓮꓯꓰꓱꓲꓳꓴꓵꓶꓷꓸꓼꓹꓼꓺꓻꓼꓽ꓾꓿",91,kbdlisus.ldml,kbdlisus
Bulgarian (Latin),bg-BG," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,KBDUS.ldml,KBDUS
N’Ko,nqo," ""#$%()*+-./:=@[\]_|°×÷،؟߀߁߂߃߄߅߆߇߈߉ߊߋߌߍߎߏߐߑߒߓߔߕߖߗߘߙߚߛߜߝߞߟߠߡߢߣߤߥߦߧߨߩߪ߲߫߬߭߮߯߰߱߳ߴߵ߶߷߸߹ߺ߾߿‹›﴾﴿",90,kbdnko.ldml,kbdnko
Greek Latin,el-GR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}¡¢£¤¥¦§©«¬®°²³µ¶¹»¼½¾¿ÁÄÅÆÇÉÍÐÑÓÖ×ØÚÜÞßáäåæçéíðñóö÷øúüþ‘’€",155,KBDGKL.ldml,KBDGKL
Belgian (Period),nl-BE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]^_abcdefghijklmnopqrstuvwxyz{|}£§°²³µàçèéù€",110,KBDBE.ldml,KBDBE
Latin American,es-MX," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~¡¬°¿Ññ",103,KBDLA.ldml,KBDLA
Tamil 99,ta-IN," !""#$%&'()*+-./0123456789:;<=>?@[\]^_`{|}~ஃஅஆஇஈஉஊஎஏஐஒஓஔகக\u{BCD}ஷஙசஜஞடணதநனபமயரறலளழவஶஶ\u{BCD}ர\u{BC0}ஷஸஹ்ௐ௳௴௵௶௷௸௹௺",91,KBDTAM99.ldml,KBDTAM99
